"country","variable","value_type","downstream_use","values_compared","changed_values","anecdotal_changes","substantive_changes","changed_share_pct","substantive_share_pct","median_new_old","median_pct_diff","p10_pct_diff","p90_pct_diff","max_abs_pct_diff"
"MEX","FC_r_D44_cei","primitive","current_extractor",21,1,1,0,4.8,0,0.990745,-0.926,-0.926,-0.926,0.926
"MEX","GG_B5g_cei","primitive","snacompare",21,2,1,1,9.5,4.8,0.993663,-0.634,-0.93,-0.338,1.004
"MEX","GG_r_D4_cei","primitive","uprofits",21,2,2,0,9.5,0,0.997262,-0.274,-0.347,-0.2,0.365
"MEX","GG_r_D41_cei","primitive","current_extractor",21,2,2,0,9.5,0,0.997915,-0.208,-0.666,0.249,0.78
"MEX","GG_r_D42_cei","primitive","current_extractor",20,0,0,0,0,0,,,,,
"MEX","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"MEX","GG_r_D44_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,0.813664,-18.634,-33.759,-3.508,37.54
"MEX","NFC_B5g_cei","primitive","snacompare;uprofits",21,2,0,2,9.5,9.5,0.92793,-7.207,-12.03,-2.384,13.235
"MEX","NFC_r_D4_cei","primitive","uprofits",21,2,1,1,9.5,4.8,0.775025,-22.497,-40.379,-4.616,44.849
"MEX","NFC_r_D41_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,0.748306,-25.169,-45.171,-5.168,50.171
"MEX","NFC_r_D42_cei","primitive","current_extractor",20,0,0,0,0,0,,,,,
"MEX","NFC_r_D43_cei","primitive","current_extractor",21,0,0,0,0,0,,,,,
"MEX","NFC_r_D44_cei","primitive","current_extractor",21,2,2,0,9.5,0,1.000027,0.003,0.001,0.005,0.005
"MEX","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"MEX","ratio_d43d44","derived_ratio","cei_ratio_figures",21,2,2,0,9.5,0,0.999627,-0.037,-0.274,0.199,0.333
"MEX","ratio_d44_b5g","derived_ratio","cei_ratio_figures",21,2,2,0,9.5,0,0.998782,-0.122,-0.412,0.168,0.484
"MEX","ratio_d44_d4","derived_ratio","cei_ratio_figures",21,2,2,0,9.5,0,0.999627,-0.037,-0.274,0.199,0.333
"MEX","ratio_d75_b5g","derived_ratio","cei_ratio_figures",21,2,1,1,9.5,4.8,0.98144,-1.856,-2.59,-1.122,2.773
"MEX","ratio_d75_d7","derived_ratio","cei_ratio_figures",21,2,2,0,9.5,0,0.998471,-0.153,-0.258,-0.048,0.284
"MEX","ROW_r_D4_cei","primitive","uprofits",21,2,2,0,9.5,0,1.000008,0.001,0,0.001,0.002
"MEX","ROW_r_D41_cei","primitive","current_extractor",21,2,2,0,9.5,0,1.00002,0.002,0,0.004,0.004
"MEX","ROW_r_D42_cei","primitive","current_extractor",20,0,0,0,0,0,,,,,
"MEX","ROW_r_D43_cei","primitive","current_extractor",21,0,0,0,0,0,,,,,
"MEX","ROW_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"MEX","TOT_B5g_cei","primitive","snacompare;uprofits",21,2,2,0,9.5,0,0.999881,-0.012,-0.169,0.145,0.208
"MEX","TOT_r_D4_cei","primitive","uprofits",21,2,1,1,9.5,4.8,0.993576,-0.642,-1.095,-0.19,1.208
"MEX","TOT_r_D41_cei","primitive","current_extractor",21,2,1,1,9.5,4.8,0.983998,-1.6,-2.842,-0.359,3.152
"MEX","TOT_r_D42_cei","primitive","current_extractor",21,2,2,0,9.5,0,1.000648,0.065,-0.098,0.228,0.269
"MEX","TOT_r_D43_cei","primitive","current_extractor",21,0,0,0,0,0,,,,,
"MEX","TOT_r_D44_cei","primitive","current_extractor",21,0,0,0,0,0,,,,,
"PER","B2g_cei","primitive","snacompare",17,0,0,0,0,0,,,,,
"PER","B3g_cei","primitive","snacompare",17,4,4,0,23.5,0,1.001552,0.155,-0.544,0.59,0.799
"PER","B5g_cei","primitive","snacompare",17,4,4,0,23.5,0,0.999643,-0.036,-0.269,0.113,0.324
"PER","D1_cei","primitive","snacompare",17,4,4,0,23.5,0,0.999567,-0.043,-0.408,0.325,0.489
"PER","D11_cei","primitive","current_extractor",17,4,4,0,23.5,0,1.000832,0.083,-0.164,0.362,0.455
"PER","D4_cei","primitive","snacompare;cei_ratio_figures",17,1,0,1,5.9,5.9,0.949679,-5.032,-5.032,-5.032,5.032
"PER","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"PER","D44_cei","primitive","cei_ratio_figures",17,0,0,0,0,0,,,,,
"PER","D5_cei","primitive","snacompare",17,0,0,0,0,0,,,,,
"PER","D61_cei","primitive","snacompare",17,2,1,1,11.8,5.9,0.98744,-1.256,-2.262,-0.25,2.514
"PER","D62_cei","primitive","snacompare",17,0,0,0,0,0,,,,,
"PER","D7_cei","primitive","cei_ratio_figures",17,1,0,1,5.9,5.9,0.966596,-3.34,-3.34,-3.34,3.34
"PER","D75_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"PER","D752_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"PER","FC_B5g_cei","primitive","snacompare;uprofits",17,3,3,0,17.6,0,1.008674,0.867,0.181,0.95,0.971
"PER","FC_r_D4_cei","primitive","uprofits",17,1,0,1,5.9,5.9,0.784301,-21.57,-21.57,-21.57,21.57
"PER","FC_r_D41_cei","primitive","current_extractor",17,1,0,1,5.9,5.9,0.770801,-22.92,-22.92,-22.92,22.92
"PER","FC_r_D42_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","FC_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"PER","FC_r_D44_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","GG_B5g_cei","primitive","snacompare",17,3,2,1,17.6,5.9,0.994375,-0.562,-1.188,-0.068,1.344
"PER","GG_r_D4_cei","primitive","uprofits",17,0,0,0,0,0,,,,,
"PER","GG_r_D41_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","GG_r_D42_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"PER","GG_r_D44_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","NFC_B5g_cei","primitive","snacompare;uprofits",17,4,2,2,23.5,11.8,1.008128,0.813,0.033,1.778,2.053
"PER","NFC_r_D4_cei","primitive","uprofits",17,1,0,1,5.9,5.9,0.503703,-49.63,-49.63,-49.63,49.63
"PER","NFC_r_D41_cei","primitive","current_extractor",17,1,0,1,5.9,5.9,0.345806,-65.419,-65.419,-65.419,65.419
"PER","NFC_r_D42_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","NFC_r_D43_cei","primitive","current_extractor",6,0,0,0,0,0,,,,,
"PER","NFC_r_D44_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"PER","ratio_d43d44","derived_ratio","cei_ratio_figures",17,1,0,1,5.9,5.9,1.052987,5.299,5.299,5.299,5.299
"PER","ratio_d44_b5g","derived_ratio","cei_ratio_figures",17,4,4,0,23.5,0,1.000358,0.036,-0.113,0.27,0.325
"PER","ratio_d44_d4","derived_ratio","cei_ratio_figures",17,1,0,1,5.9,5.9,1.052987,5.299,5.299,5.299,5.299
"PER","ratio_d75_b5g","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"PER","ratio_d75_d7","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"PER","ROW_r_D4_cei","primitive","uprofits",17,0,0,0,0,0,,,,,
"PER","ROW_r_D41_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","ROW_r_D42_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","ROW_r_D43_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","ROW_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"PER","TOT_B5g_cei","primitive","snacompare;uprofits",17,4,4,0,23.5,0,0.99943,-0.057,-0.146,0.303,0.422
"PER","TOT_r_D4_cei","primitive","uprofits",17,1,0,1,5.9,5.9,0.895557,-10.444,-10.444,-10.444,10.444
"PER","TOT_r_D41_cei","primitive","current_extractor",17,1,0,1,5.9,5.9,0.757993,-24.201,-24.201,-24.201,24.201
"PER","TOT_r_D42_cei","primitive","current_extractor",17,1,0,1,5.9,5.9,0.975151,-2.485,-2.485,-2.485,2.485
"PER","TOT_r_D43_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"PER","TOT_r_D44_cei","primitive","current_extractor",17,0,0,0,0,0,,,,,
"URY","B2g_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","B3g_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","B5g_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","D1_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","D11_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","D4_cei","primitive","snacompare;cei_ratio_figures",0,0,0,0,,,,,,,
"URY","D43_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","D44_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","D5_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","D61_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","D62_cei","primitive","snacompare",0,0,0,0,,,,,,,
"URY","D7_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","D75_cei","primitive","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","D752_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","FC_r_D4_cei","primitive","uprofits",0,0,0,0,,,,,,,
"URY","FC_r_D41_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","FC_r_D42_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","FC_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","FC_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","GG_r_D4_cei","primitive","uprofits",0,0,0,0,,,,,,,
