"country","year","variable","value_type","downstream_use","value_old","value_new","ratio_new_old","pct_diff","abs_pct_diff","status","change_magnitude","extract_status_old","extract_status_new","source_file_old","source_file_new","sheet_old","sheet_new","cell_range_old","cell_range_new","excel_row_old","excel_row_new","excel_col_old","excel_col_new","role_old","role_new","matched_code_old","matched_code_new","code_long_old","code_long_new"
"CHL",2003,"D62_cei","primitive","snacompare",3841.7266993,3841.7266994,1.00000000002603,2.60298449461516e-09,2.60298449461516e-09,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",43,43,"N","N","households_r","households_r","D.62","D.62","Prestaciones sociales","Prestaciones sociales"
"CHL",2003,"D7_cei","primitive","cei_ratio_figures",1552.88516677089,1552.88516677089,1,2.22044604925031e-14,2.22044604925031e-14,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",44,44,"N","N","households_r","households_r","D.7","D.7","Otras transferencias corrientes","Otras transferencias corrientes"
"CHL",2003,"D75_cei","primitive","cei_ratio_figures",946.469720449,946.469720449,1,2.22044604925031e-14,2.22044604925031e-14,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",47,47,"N","N","households_r","households_r","D.75","D.75","Transferencias corrientes diversas","Transferencias corrientes diversas"
"CHL",2003,"D752_cei","primitive","current_extractor",,,,,,"not_compared","not_applicable","no_code_match","no_code_match","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,"households_r","households_r",,,,
"CHL",2003,"FC_B5g_cei","primitive","snacompare;uprofits",390.997625841794,395.847832891875,1.01240469693297,1.24046969329747,1.24046969329747,"changed","substantive_ge_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",40,40,"L","L","FC_r","FC_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
"CHL",2003,"FC_r_D4_cei","primitive","uprofits",5773.52578350593,5773.52548275305,0.999999947908283,-5.20917172730506e-06,5.20917172730506e-06,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"L","L","FC_r","FC_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"FC_r_D41_cei","primitive","current_extractor",4726.60251441631,4726.61639911991,1.00000293756531,0.000293756531410949,0.000293756531410949,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",32,32,"L","L","FC_r","FC_r","D.41","D.41","Intereses","Intereses"
"CHL",2003,"FC_r_D42_cei","primitive","current_extractor",853.561322491778,853.561322591777,1.00000000011716,1.17156062628965e-08,1.17156062628965e-08,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",33,33,"L","L","FC_r","FC_r","D.42","D.42","Renta distribuida de las sociedades","Renta distribuida de las sociedades"
"CHL",2003,"FC_r_D43_cei","primitive","current_extractor",0,0,,,,"unchanged_zero","unchanged_zero","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",34,34,"L","L","FC_r","FC_r","D.43","D.43","Utilidades reinvertidas de la inversión extranjera directa","Utilidades reinvertidas de la inversión extranjera directa"
"CHL",2003,"FC_r_D44_cei","primitive","current_extractor",193.361946597837,193.347761041365,0.999926637289694,-0.0073362710306224,0.0073362710306224,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",35,35,"L","L","FC_r","FC_r","D.44","D.44","Renta de la propiedad atribuida a los titulares de pólizas de seguros","Renta de la propiedad atribuida a los titulares de pólizas de seguros"
"CHL",2003,"GG_B5g_cei","primitive","snacompare",6732.57049815839,6732.5704991614,1.00000000014898,1.48978607228401e-08,1.48978607228401e-08,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",40,40,"M","M","GG_r","GG_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
"CHL",2003,"GG_r_D4_cei","primitive","uprofits",616.898418710313,616.898418709331,0.999999999998409,-1.59117163889277e-10,1.59117163889277e-10,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"M","M","GG_r","GG_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"GG_r_D41_cei","primitive","current_extractor",305.471544363371,305.47154436219,0.999999999996132,-3.86812804009651e-10,3.86812804009651e-10,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",32,32,"M","M","GG_r","GG_r","D.41","D.41","Intereses","Intereses"
"CHL",2003,"GG_r_D42_cei","primitive","current_extractor",307.11991964,307.11991964,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",33,33,"M","M","GG_r","GG_r","D.42","D.42","Renta distribuida de las sociedades","Renta distribuida de las sociedades"
"CHL",2003,"GG_r_D43_cei","primitive","current_extractor",0,0,,,,"unchanged_zero","unchanged_zero","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",34,34,"M","M","GG_r","GG_r","D.43","D.43","Utilidades reinvertidas de la inversión extranjera directa","Utilidades reinvertidas de la inversión extranjera directa"
"CHL",2003,"GG_r_D44_cei","primitive","current_extractor",-4.52934584451579e-05,-4.52934586209018e-05,1.00000000388012,3.8801157842272e-07,3.8801157842272e-07,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",35,35,"M","M","GG_r","GG_r","D.44","D.44","Renta de la propiedad atribuida a los titulares de pólizas de seguros","Renta de la propiedad atribuida a los titulares de pólizas de seguros"
"CHL",2003,"NFC_B5g_cei","primitive","snacompare;uprofits",7416.4108461363,7416.0919589508,0.999957002491891,-0.00429975081094325,0.00429975081094325,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",40,40,"K","K","NFC_r","NFC_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
"CHL",2003,"NFC_r_D4_cei","primitive","uprofits",2955.48515451398,2955.46970341041,0.999994772058473,-0.000522794152679751,0.000522794152679751,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"K","K","NFC_r","NFC_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"NFC_r_D41_cei","primitive","current_extractor",1568.07152488941,1568.04260935996,0.999981559814722,-0.00184401852781901,0.00184401852781901,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",32,32,"K","K","NFC_r","NFC_r","D.41","D.41","Intereses","Intereses"
"CHL",2003,"NFC_r_D42_cei","primitive","current_extractor",917.757730045,917.757730045003,1,3.99680288865056e-13,3.99680288865056e-13,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",33,33,"K","K","NFC_r","NFC_r","D.42","D.42","Renta distribuida de las sociedades","Renta distribuida de las sociedades"
"CHL",2003,"NFC_r_D43_cei","primitive","current_extractor",456.522510846,456.522510846,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",34,34,"K","K","NFC_r","NFC_r","D.43","D.43","Utilidades reinvertidas de la inversión extranjera directa","Utilidades reinvertidas de la inversión extranjera directa"
"CHL",2003,"NFC_r_D44_cei","primitive","current_extractor",13.1333887335737,13.1468531594473,1.00102520576729,0.102520576728704,0.102520576728704,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",35,35,"K","K","NFC_r","NFC_r","D.44","D.44","Renta de la propiedad atribuida a los titulares de pólizas de seguros","Renta de la propiedad atribuida a los titulares de pólizas de seguros"
"CHL",2003,"ratio_d43_d4","derived_ratio","cei_ratio_figures",,,,,,"not_compared","not_applicable","ratio_missing_input","ratio_missing_input","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ratio_d43d44","derived_ratio","cei_ratio_figures",,,,,,"not_compared","not_applicable","ratio_missing_input","ratio_missing_input","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ratio_d44_b5g","derived_ratio","cei_ratio_figures",0.0409446298085165,0.040949830877959,1.00012702690113,0.0127026901130423,0.0127026901130423,"changed","anecdotal_lt_1pct","computed","computed","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ratio_d44_d4","derived_ratio","cei_ratio_figures",0.23062098980244,0.230786091694263,1.00071590141021,0.0715901410208941,0.0715901410208941,"changed","anecdotal_lt_1pct","computed","computed","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ratio_d75_b5g","derived_ratio","cei_ratio_figures",0.026529101662346,0.0265324715719199,1.00012702690113,0.0127026901130645,0.0127026901130645,"changed","anecdotal_lt_1pct","computed","computed","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ratio_d75_d7","derived_ratio","cei_ratio_figures",0.609491120594006,0.609491120594006,1,0,0,"unchanged","unchanged","computed","computed","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,,,,,,
"CHL",2003,"ROW_r_D4_cei","primitive","uprofits",3817.891519692,3817.891519692,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"P","P","ROW_r","ROW_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"ROW_r_D41_cei","primitive","current_extractor",912.747132941,912.747132941,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",32,32,"P","P","ROW_r","ROW_r","D.41","D.41","Intereses","Intereses"
"CHL",2003,"ROW_r_D42_cei","primitive","current_extractor",1211.345274355,1211.345274355,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",33,33,"P","P","ROW_r","ROW_r","D.42","D.42","Renta distribuida de las sociedades","Renta distribuida de las sociedades"
"CHL",2003,"ROW_r_D43_cei","primitive","current_extractor",1693.799112396,1693.799112396,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",34,34,"P","P","ROW_r","ROW_r","D.43","D.43","Utilidades reinvertidas de la inversión extranjera directa","Utilidades reinvertidas de la inversión extranjera directa"
"CHL",2003,"ROW_r_D44_cei","primitive","current_extractor",,,,,,"not_compared","not_applicable","non_numeric","non_numeric","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",,,,,"ROW_r","ROW_r",,,,
"CHL",2003,"TOT_B5g_cei","primitive","snacompare;uprofits",50216.6382289145,50216.6382299133,1.00000000001989,1.98894234415548e-09,1.98894234415548e-09,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",40,40,"Q","Q","TOT_r","TOT_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
"CHL",2003,"TOT_r_D4_cei","primitive","uprofits",19497.8626953686,19493.3156237008,0.999766791276625,-0.0233208723374512,0.0233208723374512,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",31,31,"Q","Q","TOT_r","TOT_r","D.4","D.4","Renta de la propiedad","Renta de la propiedad"
"CHL",2003,"TOT_r_D41_cei","primitive","current_extractor",7842.64071283245,7842.62568200449,0.9999980834481,-0.000191655190018292,0.000191655190018292,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",32,32,"Q","Q","TOT_r","TOT_r","D.41","D.41","Intereses","Intereses"
"CHL",2003,"TOT_r_D42_cei","primitive","current_extractor",7833.33046310051,7828.79914339115,0.999421533442167,-0.057846655783278,0.057846655783278,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",33,33,"Q","Q","TOT_r","TOT_r","D.42","D.42","Renta distribuida de las sociedades","Renta distribuida de las sociedades"
"CHL",2003,"TOT_r_D43_cei","primitive","current_extractor",2150.321623242,2150.321623242,1,0,0,"unchanged","unchanged","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",34,34,"Q","Q","TOT_r","TOT_r","D.43","D.43","Utilidades reinvertidas de la inversión extranjera directa","Utilidades reinvertidas de la inversión extranjera directa"
"CHL",2003,"TOT_r_D44_cei","primitive","current_extractor",1667.2628961932,1667.2621750626,0.99999956747637,-4.32523629578796e-05,4.32523629578796e-05,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2003","2003","E27:Q48","E27:Q48",35,35,"Q","Q","TOT_r","TOT_r","D.44","D.44","Renta de la propiedad atribuida a los titulares de pólizas de seguros","Renta de la propiedad atribuida a los titulares de pólizas de seguros"
"CHL",2004,"B2g_cei","primitive","snacompare",10857.023918934,10857.0239189454,1.00000000000105,1.04560804459197e-10,1.04560804459197e-10,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2004","2004","E27:Q48","E27:Q48",27,27,"N","N","households_r","households_r","B.2B/B.3B","B.2B/B.3B","Excedente de explotación bruto /Ingreso Mixto bruto","Excedente de explotación bruto /Ingreso Mixto bruto"
"CHL",2004,"B3g_cei","primitive","snacompare",,,,,,"not_compared","not_applicable","non_numeric","non_numeric","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2004","2004","E27:Q48","E27:Q48",,,,,"households_r","households_r",,,,
"CHL",2004,"B5g_cei","primitive","snacompare",38401.0225659895,38400.9445409264,0.999997968151422,-0.000203184857794358,0.000203184857794358,"changed","anecdotal_lt_1pct","matched","matched","/Users/iflores/Documents/GitHub/dina-latam/input_data/sna_country_data/CHL/CEI_merged.xlsx","/Users/iflores/Documents/GitHub/dina-latam/input_data/_new/country_sna/CHL/CEI_anuario_2013-2024.xls","2004","2004","E27:Q48","E27:Q48",40,40,"N","N","households_r","households_r","B.5","B.5","Saldo de ingresos primarios","Saldo de ingresos primarios"
