"country","year","values_compared","changed_values","anecdotal_changes","substantive_changes","changed_share_pct","substantive_share_pct","median_new_old","median_pct_diff","p10_pct_diff","p90_pct_diff","max_abs_pct_diff"
"CRI",2018,41,0,0,0,0,0,,,,,
"CRI",2019,41,0,0,0,0,0,,,,,
"CRI",2020,40,0,0,0,0,0,,,,,
"CRI",2021,40,0,0,0,0,0,,,,,
"MEX",2003,43,0,0,0,0,0,,,,,
"MEX",2004,44,0,0,0,0,0,,,,,
"MEX",2005,44,0,0,0,0,0,,,,,
"MEX",2006,44,0,0,0,0,0,,,,,
"MEX",2007,44,0,0,0,0,0,,,,,
"MEX",2008,44,0,0,0,0,0,,,,,
"MEX",2009,44,0,0,0,0,0,,,,,
"MEX",2010,44,0,0,0,0,0,,,,,
"MEX",2011,44,0,0,0,0,0,,,,,
"MEX",2012,44,0,0,0,0,0,,,,,
"MEX",2013,44,0,0,0,0,0,,,,,
"MEX",2014,44,0,0,0,0,0,,,,,
"MEX",2015,44,0,0,0,0,0,,,,,
"MEX",2016,44,0,0,0,0,0,,,,,
"MEX",2017,44,0,0,0,0,0,,,,,
"MEX",2018,44,0,0,0,0,0,,,,,
"MEX",2019,44,0,0,0,0,0,,,,,
"MEX",2020,44,0,0,0,0,0,,,,,
"MEX",2021,43,0,0,0,0,0,,,,,
"MEX",2022,44,34,23,11,77.3,25,1.00003,0.003,-2.569,1.117,50.171
"MEX",2023,43,34,28,6,79.1,14,0.999192,-0.081,-2.147,0.255,37.54
"PER",2007,39,0,0,0,0,0,,,,,
"PER",2008,39,0,0,0,0,0,,,,,
"PER",2009,39,0,0,0,0,0,,,,,
"PER",2010,39,0,0,0,0,0,,,,,
"PER",2011,39,0,0,0,0,0,,,,,
"PER",2012,39,0,0,0,0,0,,,,,
"PER",2013,39,0,0,0,0,0,,,,,
"PER",2014,39,0,0,0,0,0,,,,,
"PER",2015,39,0,0,0,0,0,,,,,
"PER",2016,39,0,0,0,0,0,,,,,
"PER",2017,39,0,0,0,0,0,,,,,
"PER",2018,40,0,0,0,0,0,,,,,
"PER",2019,40,0,0,0,0,0,,,,,
"PER",2020,40,10,8,2,25,5,0.999329,-0.067,-1.461,0.283,2.514
"PER",2021,40,7,7,0,17.5,0,1.000506,0.051,-0.108,0.137,0.162
"PER",2022,40,11,9,2,27.5,5,0.997819,-0.218,-0.799,0.867,3.34
"PER",2023,40,19,8,11,47.5,27.5,1.000553,0.055,-29.286,2.702,65.419
"URY",2012,0,0,0,0,,,,,,,
"URY",2016,0,0,0,0,,,,,,,
"URY",2017,0,0,0,0,,,,,,,
"URY",2018,0,0,0,0,,,,,,,
"URY",2019,0,0,0,0,,,,,,,
"URY",2020,0,0,0,0,,,,,,,
"URY",2021,0,0,0,0,,,,,,,
"URY",2022,0,0,0,0,,,,,,,
